HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username,NumberOfSimilarHITs,Description,RequesterAnnotation,AutoApprovalDelayInSeconds,Last30DaysApprovalRate,AutoApprovalTime,LifetimeInSeconds,Reward,RequesterFeedback,Approve,ApprovalTime,Last7DaysApprovalRate,RejectionTime,AssignmentStatus,LifetimeApprovalRate,Input.question_id,Reject,Keywords,Expiration
476672,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22332,141,Sat Feb 26 20:20:24 UTC 2022,Sat Feb 26 20:20:46 UTC 2022,22,"[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476672,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22441,139,Wed Mar 02 18:54:08 UTC 2022,Wed Mar 02 18:54:16 UTC 2022,8,"[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476673,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22172,52,Thu Feb 24 13:04:07 UTC 2022,Thu Feb 24 13:04:15 UTC 2022,8,"[[{""id"": ""g0.0"", ""content"": ""motorcycle""}, {""id"": ""g0.1"", ""content"": ""motorcycle show""}, {""id"": ""g0.2"", ""content"": ""motorcycle gathering""}, {""id"": ""g0.3"", ""content"": ""motorcycle event""}], [{""id"": ""g1.0"", ""content"": ""motorcycle rally""}, {""id"": ""g1.1"", ""content"": ""biker""}, {""id"": ""g1.2"", ""content"": ""bike rally""}, {""id"": ""g1.3"", ""content"": ""biker rally""}]]","[""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000452597.jpg""","""What kind of event is this?""","[[{""id"":""g0.0"",""content"":""motorcycle""},{""id"":""g0.1"",""content"":""motorcycle show""},{""id"":""g0.2"",""content"":""motorcycle gathering""},{""id"":""g0.3"",""content"":""motorcycle event""}],[{""id"":""g1.0"",""content"":""motorcycle rally""},{""id"":""g1.1"",""content"":""biker""},{""id"":""g1.2"",""content"":""bike rally""},{""id"":""g1.3"",""content"":""biker rally""}]]","[""What kind of event is this?"",""What kind of event is this?""]",true,value,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476673,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:08 PDT 2022,10,3600,3URFVVM166NF5B7WY4DRFMDJH5XUZL,A2L9763BW12NLA,Fri Apr 08 16:17:51 PDT 2022,Fri Apr 08 16:17:56 PDT 2022,5,"[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}], [{""id"": ""g2.0"", ""content"": ""picnic""}], [{""id"": ""g3.0"", ""content"": ""motorcycle""}], [{""id"": ""g4.0"", ""content"": ""race""}]]","[""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000265967.jpg""","""What kind of event is this?""","[[{""id"":""g0.0"",""content"":""car show""},{""id"":""g0.1"",""content"":""old car show""}],[{""id"":""g1.0"",""content"":""bike show""},{""id"":""g1.1"",""content"":""classic motorcycle show""},{""id"":""g1.2"",""content"":""motorcycle show""}],[{""id"":""g2.0"",""content"":""picnic""}],[{""id"":""g3.0"",""content"":""motorcycle""}],[{""id"":""g4.0"",""content"":""race""}]]","[""What kind of event is this?"",""What kind of event is this?"",""What kind of event is this?"",""What kind of event is this?"",""What kind of event is this?""]",true,value,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:17:56 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),265967000,,"images, questions, language",Fri Apr 15 12:36:08 PDT 2022
476673,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22333,141,Sat Feb 26 20:20:46 UTC 2022,Sat Feb 26 20:21:08 UTC 2022,22,"[[{""id"": ""g0.0"", ""content"": ""motorcycle""}, {""id"": ""g0.1"", ""content"": ""motorcycle show""}, {""id"": ""g0.2"", ""content"": ""motorcycle gathering""}, {""id"": ""g0.3"", ""content"": ""motorcycle event""}], [{""id"": ""g1.0"", ""content"": ""motorcycle rally""}, {""id"": ""g1.1"", ""content"": ""biker""}, {""id"": ""g1.2"", ""content"": ""bike rally""}, {""id"": ""g1.3"", ""content"": ""biker rally""}]]","[""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000452597.jpg""","""What kind of event is this?""","[[{""id"":""g0.0"",""content"":""motorcycle""},{""id"":""g0.1"",""content"":""motorcycle show""},{""id"":""g0.2"",""content"":""motorcycle gathering""},{""id"":""g0.3"",""content"":""motorcycle event""}],[{""id"":""g1.0"",""content"":""motorcycle rally""},{""id"":""g1.1"",""content"":""biker""},{""id"":""g1.2"",""content"":""bike rally""},{""id"":""g1.3"",""content"":""biker rally""}]]","[""What kind of event is this?"",""What kind of event is this?""]",true,value,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476673,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22442,139,Wed Mar 02 18:54:16 UTC 2022,Wed Mar 02 18:54:41 UTC 2022,25,"[[{""id"": ""g0.0"", ""content"": ""motorcycle""}, {""id"": ""g0.1"", ""content"": ""motorcycle show""}, {""id"": ""g0.2"", ""content"": ""motorcycle gathering""}, {""id"": ""g0.3"", ""content"": ""motorcycle event""}], [{""id"": ""g1.0"", ""content"": ""motorcycle rally""}, {""id"": ""g1.1"", ""content"": ""biker""}, {""id"": ""g1.2"", ""content"": ""bike rally""}, {""id"": ""g1.3"", ""content"": ""biker rally""}]]","[""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000452597.jpg""","""What kind of event is this?""","[[{""id"":""g0.0"",""content"":""motorcycle""},{""id"":""g0.1"",""content"":""motorcycle show""},{""id"":""g0.2"",""content"":""motorcycle gathering""},{""id"":""g0.3"",""content"":""motorcycle event""}],[{""id"":""g1.0"",""content"":""motorcycle rally""},{""id"":""g1.1"",""content"":""biker""},{""id"":""g1.2"",""content"":""bike rally""},{""id"":""g1.3"",""content"":""biker rally""}]]","[""What kind of event is this?"",""What kind of event is this?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476675,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22174,52,Thu Feb 24 13:06:00 UTC 2022,Thu Feb 24 13:06:48 UTC 2022,48,"[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""on patio""},{""id"":""g0.2"",""content"":""farmers market""}],[{""id"":""g0.3"",""content"":""over seating""},{""id"":""g1.0"",""content"":""above tables""},{""id"":""g1.1"",""content"":""tables""},{""id"":""g1.2"",""content"":""over tables""}]]","[""What are the umbrellas on?"",""What are the umbrellas over?""]",false,,"""All answer the same question""",esteng,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476675,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3JMSRU9HQJZH7V50779JQYEK762EVT,A2L9763BW12NLA,Fri Apr 08 16:35:46 PDT 2022,Fri Apr 08 16:36:34 PDT 2022,48,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on patio""},{""id"":""g0.2"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""farmers market""}],[{""id"":""g1.0"",""content"":""above tables""},{""id"":""g0.4"",""content"":""over seating""},{""id"":""g1.1"",""content"":""over tables""},{""id"":""g1.2"",""content"":""tables""}]]","[""Where are the umbrellas located?"",""What are the umbrellas covering?""]",false,,"""All answer the same question""",A2L9763BW12NLA,,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,BatchId:4710906;OriginalHitTemplateId:928390828;,259200,0% (0/0),Mon Apr 11 16:36:34 PDT 2022,,$0.10,,,,0% (0/0),,Submitted,100% (248/248),456109001,,"images, questions, language",Fri Apr 15 12:36:07 PDT 2022
476675,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22335,141,Sat Feb 26 20:21:20 UTC 2022,Sat Feb 26 20:23:00 UTC 2022,100,"[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""on patio""}],[{""id"":""g1.0"",""content"":""above tables""},{""id"":""g1.1"",""content"":""tables""},{""id"":""g1.2"",""content"":""over tables""},{""id"":""g0.3"",""content"":""over seating""}]]","[""Where are the umbrellas covering?"",""Over what are the umbrellas?""]",false,,"""All answer the same question""",ohussei3,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
476675,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22444,139,Wed Mar 02 18:55:30 UTC 2022,Wed Mar 02 18:55:45 UTC 2022,15,"[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""on patio""},{""id"":""g0.2"",""content"":""farmers market""},{""id"":""g0.3"",""content"":""over seating""},{""id"":""g0.4"",""content"":""in picture""}],[{""id"":""g1.0"",""content"":""above tables""},{""id"":""g1.1"",""content"":""tables""},{""id"":""g1.2"",""content"":""over tables""}]]","[""Where are the umbrellas?"",""Where are the umbrellas?""]",true,value,"""All answer the same question""",rhuang29,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
