HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgUrl,Input.questionStr,Input.answerGroups,Input.answerQuestions,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Approve,Reject,Turkle.Username,ambiguity_type
495545,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23796,129,,Thu Jun 02 17:50:15 UTC 2022,Thu Jun 02 17:50:47 UTC 2022,,,,,32,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000127744.jpg""","""Where is the photographer standing?""","[[{""id"": ""g0.4"", ""content"": ""behind cat""}], [{""id"": ""g1.2"", ""content"": ""inside""}]]","[""Where is the photographer standing by cat?"", "" Is the photographer standing inside or out?""]",127744002,"[[{'id': 'g0.4', 'content': 'behind cat'}, {'id': 'g0.0', 'content': 'behind cat'}, {'id': 'g0.0', 'content': 'behind cat'}], [{'id': 'g1.2', 'content': 'inside'}, {'id': 'g1.0', 'content': 'inside'}, {'id': 'g1.0', 'content': 'inside'}]]","[""Where is the photographer standing in terms of the cat?"","" Is the photographer standing inside or outside?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495546,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23797,129,,Thu Jun 02 17:50:47 UTC 2022,Thu Jun 02 17:51:52 UTC 2022,,,,,65,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000142420.jpg""","""What type of vitamin is in the fridge?""","[[{""id"": ""g0.3"", ""content"": ""b""}], [{""id"": ""g1.0"", ""content"": ""bottle""}], [{""id"": ""g2.0"", ""content"": ""nature made""}], [{""id"": ""g3.0"", ""content"": ""yellow""}]]","[""What is the name of the type of vitamin in the fridge ?"", ""What type of vitamin container is in the fridge?"", ""What brand of vitamin is in the fridge?"", ""What color is the type of vitamin is in the fridge?""]",142420003,"[[{'id': 'g0.3', 'content': 'b'}, {'id': 'g0.0', 'content': 'b'}, {'id': 'g0.0', 'content': 'b'}], [{'id': 'g1.0', 'content': 'bottle'}], [{'id': 'g2.0', 'content': 'nature made'}], [{'id': 'g3.0', 'content': 'yellow'}]]","[""What is the name of the type of vitamin in the fridge ?"",""What are the vitamins in the fridge contained in?"",""What brand of vitamin is in the fridge?"",""What color is the type of vitamin is in the fridge?""]",true,value,"""flag""",,,jgualla1,"\""A/K\"""""
495547,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23798,129,,Thu Jun 02 17:51:52 UTC 2022,Thu Jun 02 17:55:17 UTC 2022,,,,,205,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000262239.jpg""","""Which person is in the black hat?""","[[{""id"": ""g0.0"", ""content"": ""man""}], [{""id"": ""g1.1"", ""content"": ""one on right""}], [{""id"": ""g2.1"", ""content"": ""sous chef""}]]","[""Which gender person is in the black hat?"", ""Where is the person is in the black hat?"", ""The person is in the black hat is called what?""]",262239001,"[[{'id': 'g0.0', 'content': 'man'}], [{'id': 'g1.1', 'content': 'one on right'}, {'id': 'g1.0', 'content': 'right'}, {'id': 'g1.0', 'content': 'right'}, {'id': 'g1.1', 'content': 'one on right'}], [{'id': 'g2.1', 'content': 'sous chef'}, {'id': 'g2.0', 'content': 'chef'}, {'id': 'g2.0', 'content': 'chef'}, {'id': 'g2.1', 'content': 'sous chef'}]]","[""Is the man or woman in the black hat?"",""Which of the people is the person in the black hat?"",""Which cook is in the black hat?""]",true,value,"""flag""",,,jgualla1,"skip"""
495548,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23799,129,,Thu Jun 02 17:55:17 UTC 2022,Thu Jun 02 17:56:30 UTC 2022,,,,,73,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000150546.jpg""","""Where is this bus likely to be located?""","[[{""id"": ""g0.3"", ""content"": ""england""}], [{""id"": ""g1.2"", ""content"": ""bus station""}], [{""id"": ""g2.0"", ""content"": ""outside""}]]","[""Where in the globe is this bus likely to be located?"", ""Where is this bus likely to be located at?"", ""Where is this bus likely to be located during the day?""]",150546000,"[[{'id': 'g0.3', 'content': 'england'}, {'id': 'g0.0', 'content': 'england'}, {'id': 'g0.0', 'content': 'england'}], [{'id': 'g1.2', 'content': 'bus station'}, {'id': 'g1.0', 'content': 'united states'}, {'id': 'g1.0', 'content': 'united states'}], [{'id': 'g2.0', 'content': 'outside'}]]","[""In what country is this bus likely to be located?"",""At what establishment is this bus likely to be located?"",""Is this bus likely to be located inside or outside?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495550,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23801,129,,Thu Jun 02 17:56:47 UTC 2022,Thu Jun 02 17:58:59 UTC 2022,,,,,132,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000186671.jpg""","""What type of oven is in the kitchen?""","[[{""id"": ""g0.1"", ""content"": ""stone""}], [{""id"": ""g1.0"", ""content"": ""electric""}], [{""id"": ""g2.1"", ""content"": ""built-in""}], [{""id"": ""g3.2"", ""content"": ""dutch""}]]","[""What type of oven materials are seen is in the kitchen?"", ""What type of energy oven is in the kitchen?"", ""What type of oven is built in the kitchen?"", ""What type of oven name is in the kitchen?""]",186671000,"[[{'id': 'g1.0', 'content': 'electric'}], [{'id': 'g2.1', 'content': 'built-in'}, {'id': 'g2.0', 'content': 'stainless steel'}, {'id': 'g2.0', 'content': 'stainless steel'}], [{'id': 'g3.2', 'content': 'dutch'}, {'id': 'g3.0', 'content': 'built-in'}, {'id': 'g3.0', 'content': 'built-in'}]]","[""What energy type is this oven?"",""What style of oven is in the kitchen?"",""What is the name of the type of oven in this kitchen?""]",false,,"""All answer the same question""",,,jgualla1,"A/K"""
495551,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23802,129,,Thu Jun 02 17:58:59 UTC 2022,Thu Jun 02 17:59:56 UTC 2022,,,,,57,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000124992.jpg""","""Where is the stop sign?""","[[{""id"": ""g0.3"", ""content"": ""railroad track""}], [{""id"": ""g1.1"", ""content"": ""on pole""}], [{""id"": ""g2.1"", ""content"": ""in front""}]]","[""What is the stop sign near?"", ""What is the stop sign on?"", ""Where is the stop sign seen in the photo?""]",124992002,"[[{'id': 'g0.3', 'content': 'railroad track'}, {'id': 'g0.0', 'content': 'by railroad track'}, {'id': 'g0.1', 'content': 'railroad track'}, {'id': 'g0.0', 'content': 'by railroad track'}, {'id': 'g0.1', 'content': 'railroad track'}, {'id': 'g0.1', 'content': 'railroad track'}, {'id': 'g0.0', 'content': 'by railroad track'}], [{'id': 'g1.1', 'content': 'on pole'}, {'id': 'g1.0', 'content': 'on post'}, {'id': 'g1.0', 'content': 'on post'}, {'id': 'g1.1', 'content': 'on pole'}], [{'id': 'g2.1', 'content': 'in front'}, {'id': 'g2.0', 'content': 'under railroad crossing sign'}, {'id': 'g2.0', 'content': 'under railroad crossing sign'}, {'id': 'g2.1', 'content': 'railroad crossing'}]]","[""What is the stop sign near?"",""What is the stop sign attached to?"",""Where is the stop sign in the picture?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495552,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23803,129,,Thu Jun 02 17:59:56 UTC 2022,Thu Jun 02 18:00:44 UTC 2022,,,,,48,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000444235.jpg""","""Where is this bus going?""","[[{""id"": ""g0.6"", ""content"": ""station""}], [{""id"": ""g1.1"", ""content"": ""around corner""}]]","[""Where is this bus going possibly?"", ""Which direction is this bus going ?""]",444235000,"[[{'id': 'g0.6', 'content': 'station'}, {'id': 'g0.0', 'content': 'bus station'}, {'id': 'g0.1', 'content': 'station'}, {'id': 'g0.0', 'content': 'bus station'}, {'id': 'g0.1', 'content': 'station'}, {'id': 'g0.1', 'content': 'station'}, {'id': 'g0.0', 'content': 'bus station'}], [{'id': 'g1.1', 'content': 'around corner'}, {'id': 'g1.0', 'content': 'home base'}, {'id': 'g1.0', 'content': 'home base'}]]","[""What could be the destination of the bus?"",""Where could the bus be going?""]",false,,"""All answer the same question""",,,jgualla1,"A/G.A/D"""
495553,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23804,129,,Thu Jun 02 18:00:44 UTC 2022,Thu Jun 02 18:01:17 UTC 2022,,,,,33,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000421383.jpg""","""Where is the motorcycle parked?""","[[{""id"": ""g0.2"", ""content"": ""lot""}], [{""id"": ""g1.0"", ""content"": ""desert""}], [{""id"": ""g2.4"", ""content"": ""dirt lot""}]]","[""Where the motorcycle parked is called what?"", ""In what landscape is the motorcycle parked ?"", ""On wha is the motorcycle parked?""]",421383005,"[[{'id': 'g2.4', 'content': 'dirt lot'}, {'id': 'g2.0', 'content': 'lot'}, {'id': 'g2.0', 'content': 'lot'}, {'id': 'g0.2', 'content': 'lot'}, {'id': 'g0.0', 'content': 'parking lot'}, {'id': 'g0.1', 'content': 'it is parked in lot'}, {'id': 'g0.0', 'content': 'parking lot'}, {'id': 'g0.1', 'content': 'it is parked in lot'}, {'id': 'g0.1', 'content': 'it is parked in lot'}, {'id': 'g0.0', 'content': 'parking lot'}], [{'id': 'g1.0', 'content': 'desert'}]]","[""Where are the motorcycles parked?"",""In what landscape are the motorcycle parked?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495554,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23805,129,,Thu Jun 02 18:01:17 UTC 2022,Thu Jun 02 18:02:51 UTC 2022,,,,,94,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000458654.jpg""","""What is being done to this animal?""","[[{""id"": ""g0.5"", ""content"": ""protecting""}], [{""id"": ""g1.1"", ""content"": ""slaughter""}]]","[""What is being done for this animal?"", ""What is being ready to be done to this animal?""]",458654006,"[[{'id': 'g0.5', 'content': 'protecting'}, {'id': 'g0.0', 'content': 'protecting'}, {'id': 'g0.0', 'content': 'protecting'}], [{'id': 'g1.1', 'content': 'slaughter'}, {'id': 'g1.0', 'content': 'warmth'}, {'id': 'g1.0', 'content': 'warmth'}]]","[""What is being done for this animal?"",""What is being ready to be done to this animal?""]",true,value,"""flag""",,,jgualla1,"skip"""
495555,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23806,129,,Thu Jun 02 18:02:51 UTC 2022,Thu Jun 02 18:03:22 UTC 2022,,,,,31,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000387543.jpg""","""Where would you look in the picture for the local newspaper?""","[[{""id"": ""g0.0"", ""content"": ""right""}], [{""id"": ""g1.5"", ""content"": ""newspaper holder""}]]","[""Whichdirection would you look in the picture for the local newspaper?"", ""Where would you look in the picture for the local newspaper possibly?""]",387543001,"[[{'id': 'g0.0', 'content': 'right'}], [{'id': 'g1.5', 'content': 'newspaper holder'}, {'id': 'g1.0', 'content': 'right'}, {'id': 'g1.0', 'content': 'right'}]]","[""In which direction would you look in the picture for the local newspaper?"",""In what would you look in the picture for the local newspaper?""]",false,,"""All answer the same question""",,,jgualla1,"A/L"""
495557,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23808,129,,Thu Jun 02 18:03:47 UTC 2022,Thu Jun 02 18:04:00 UTC 2022,,,,,13,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000360737.jpg""","""What type of car is in the background?""","[[{""id"": ""g0.1"", ""content"": ""sedan""}], [{""id"": ""g1.2"", ""content"": ""white""}], [{""id"": ""g2.3"", ""content"": ""volvo""}]]","[""What style of car is in the background?"", ""What color of car is in the background?"", ""What brand of car is in the background?""]",360737024,"[[{'id': 'g0.1', 'content': 'sedan'}, {'id': 'g0.0', 'content': 'passenger'}, {'id': 'g0.0', 'content': 'passenger'}], [{'id': 'g1.2', 'content': 'white'}, {'id': 'g1.0', 'content': 'sedan'}, {'id': 'g1.0', 'content': 'sedan'}], [{'id': 'g2.3', 'content': 'volvo'}, {'id': 'g2.0', 'content': 'gray'}, {'id': 'g2.1', 'content': 'white'}, {'id': 'g2.0', 'content': 'gray'}, {'id': 'g2.1', 'content': 'white'}, {'id': 'g2.1', 'content': 'white'}, {'id': 'g2.0', 'content': 'gray'}]]","[""What style of car is in the background?"",""What color of car is in the background?"",""What brand of car is in the background?""]",true,value,"""All answer the same question""",,,jgualla1,"\""A/K\"""""
495559,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23810,129,,Thu Jun 02 18:04:13 UTC 2022,Thu Jun 02 18:05:05 UTC 2022,,,,,52,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016486.jpg""","""Where is the vintage automobile?""","[[{""id"": ""g0.6"", ""content"": ""field""}], [{""id"": ""g1.0"", ""content"": ""toronto""}]]","[""Where is the vintage automobile stopped?"", ""In which city is the vintage automobile?""]",16486003,"[[{'id': 'g0.6', 'content': 'field'}, {'id': 'g0.0', 'content': 'field'}, {'id': 'g0.0', 'content': 'field'}], [{'id': 'g1.0', 'content': 'toronto'}]]","[""What is the vintage automobile stopped next to?"",""In what city could the vintage automobile be?""]",true,value,"""flag""",,,jgualla1,"skip"""
