HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username,RequesterAnnotation,AutoApprovalTime,Last30DaysApprovalRate,LifetimeApprovalRate,RequesterFeedback,Reject,Keywords,NumberOfSimilarHITs,AssignmentStatus,Expiration,Description,Last7DaysApprovalRate,ApprovalTime,RejectionTime,AutoApprovalDelayInSeconds,Input.question_id,LifetimeInSeconds,Reward,Approve
476675,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A003,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}, {""id"": ""g0.4"", ""content"": ""over seating""}]]","[""Where are the umbrellas located?"", ""What are the umbrellas covering?""]",false,,,A003,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
476675,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A005,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}], [{""id"": ""g0.4"", ""content"": ""over seating""}, {""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""What location are the umbrellas?"", ""What are the umbrellas placed over?""]",false,,,A005,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
476675,3VLQM5V8QIHZJ4F39ZPCTJCGMNO8GI,Evaluate answers to questions about images,Fri Apr 08 12:36:07 PDT 2022,10,3600,3JMSRU9HQJZH7V50779JQYEK762EVT,A006,Fri Apr 08 16:35:46 PDT 2022,Fri Apr 08 16:36:34 PDT 2022,48,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on patio""},{""id"":""g0.2"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""farmers market""}],[{""id"":""g1.0"",""content"":""above tables""},{""id"":""g0.4"",""content"":""over seating""},{""id"":""g1.1"",""content"":""over tables""},{""id"":""g1.2"",""content"":""tables""}]]","[""Where are the umbrellas located?"",""What are the umbrellas covering?""]",false,,"""All answer the same question""",A006,BatchId:4710906;OriginalHitTemplateId:928390828;,Mon Apr 11 16:36:34 PDT 2022,100% (41/41),100% (289/289),,,"images, questions, language",,Approved,Fri Apr 15 12:36:07 PDT 2022,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,100% (41/41),Mon Apr 11 16:36:51 PDT 2022,,259200,456109001,,$0.10,
476675,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22335,A007,Sat Feb 26 20:21:20 UTC 2022,Sat Feb 26 20:23:00 UTC 2022,100,"[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""on patio""}],[{""id"":""g1.0"",""content"":""above tables""},{""id"":""g1.1"",""content"":""tables""},{""id"":""g1.2"",""content"":""over tables""},{""id"":""g0.3"",""content"":""over seating""}]]","[""Where are the umbrellas covering?"",""Over what are the umbrellas?""]",false,,"""All answer the same question""",A007,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
476677,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22176,A001,Thu Feb 24 13:06:53 UTC 2022,Thu Feb 24 13:07:32 UTC 2022,39,"[[{""id"": ""g0.0"", ""content"": ""latte""}, {""id"": ""g0.1"", ""content"": ""coffee""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"":""g0.0"",""content"":""latte""},{""id"":""g0.1"",""content"":""coffee""}],[{""id"":""g1.0"",""content"":""yes""}]]","[""What kind of beverage was served?"",""Was any beverage served?""]",false,,"""All answer the same question""",A001,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476677,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A002,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""What beverage is served?"", ""Is a beverage served?""]",false,,,A002,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476677,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A004,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""What beverage was served?"", ""Was a beverage served or not?""]",false,,,A004,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476677,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A003,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}]]","[""Was a beverage served?""]",false,,,A003,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476677,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A005,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"": ""g0.0"", ""content"": ""coffee""}, {""id"": ""g0.1"", ""content"": ""latte""}]]","[""Was a beverage served?""]",false,,,A005,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476677,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22337,A007,Sat Feb 26 20:23:20 UTC 2022,Sat Feb 26 20:23:55 UTC 2022,35,"[[{""id"": ""g0.0"", ""content"": ""latte""}, {""id"": ""g0.1"", ""content"": ""coffee""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"":""g0.0"",""content"":""latte""},{""id"":""g0.1"",""content"":""coffee""}],[{""id"":""g1.0"",""content"":""yes""}]]","[""What beverage was served?"",""Was a beverage served yes or no?""]",false,,"""All answer the same question""",A007,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,460694000,placeholder,placeholder,placeholder
476678,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A003,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""people""}, {""id"": ""g0.1"", ""content"": ""yes""}, {""id"": ""g0.2"", ""content"": ""people caged in""}], [{""id"": ""g1.0"", ""content"": ""animals""}, {""id"": ""g1.1"", ""content"": ""animal""}]]","[""Are the animals or people caged in?"", ""Are the animals or people caged in?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466845.jpg""","""Are the animals or people caged in?""","[[{""id"": ""g0.0"", ""content"": ""people""}, {""id"": ""g0.2"", ""content"": ""people caged in""}], [{""id"": ""g1.0"", ""content"": ""animals""}, {""id"": ""g1.1"", ""content"": ""animal""}]]","[""Are the animals or people in the cage?"", ""Are the animals or people outside the cage ?""]",false,,,A003,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,466845001,placeholder,placeholder,placeholder
476679,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22178,A001,Thu Feb 24 13:07:44 UTC 2022,Thu Feb 24 13:08:22 UTC 2022,38,"[[{""id"": ""g0.0"", ""content"": ""street""}, {""id"": ""g0.1"", ""content"": ""on street""}], [{""id"": ""g1.0"", ""content"": ""right""}, {""id"": ""g1.1"", ""content"": ""in front of hummer""}, {""id"": ""g1.2"", ""content"": ""on road""}, {""id"": ""g1.3"", ""content"": ""in front of yellow vehicle""}, {""id"": ""g1.4"", ""content"": ""in front""}]]","[""Where is the bus?"", ""Where is the bus?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000139390.jpg""","""Where is the bus?""","[[{""id"":""g0.0"",""content"":""street""},{""id"":""g1.2"",""content"":""on road""},{""id"":""g0.1"",""content"":""on street""}],[{""id"":""g1.1"",""content"":""in front of hummer""},{""id"":""g1.3"",""content"":""in front of yellow vehicle""},{""id"":""g1.4"",""content"":""in front""}],[{""id"":""g1.0"",""content"":""right""}]]","[""What is the bus on?"",""What is the bus in front of?"",""Where in the image is the bus?""]",false,,"""All answer the same question""",A001,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,139390001,placeholder,placeholder,placeholder
