HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
5,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21520,52,Mon Feb 07 18:48:12 UTC 2022,Mon Feb 07 18:48:23 UTC 2022,11,"[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g1.1"",""content"":""on counter""}],[{""id"":""g2.0"",""content"":""left""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}],[{""id"":""g4.0"",""content"":""floor""}]]","[""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?""]",true,value,"""All answer the same question""",esteng
5,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21686,129,Wed Feb 09 20:28:09 UTC 2022,Wed Feb 09 20:28:32 UTC 2022,23,"[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g2.0"",""content"":""left""},{""id"":""g1.1"",""content"":""on counter""},{""id"":""g4.0"",""content"":""floor""},{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}]]","""What are the flowers in?""",false,,"""All answer the same question""",jgualla1
6,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21521,52,Mon Feb 07 18:48:23 UTC 2022,Mon Feb 07 18:50:56 UTC 2022,153,"[[{""id"": ""g0.0"", ""content"": ""lak 3090""}, {""id"": ""g0.1"", ""content"": ""lak""}, {""id"": ""g0.2"", ""content"": ""lak309g""}, {""id"": ""g0.3"", ""content"": ""3096""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"":""g0.0"",""content"":""lak 3090""},{""id"":""g0.2"",""content"":""lak309g""}],[{""id"":""g1.0"",""content"":""lak""},{""id"":""g0.1"",""content"":""lak""}],[{""id"":""g0.3"",""content"":""3096""}]]","""What are the numbers on the bus?""",false,,"""All answer the same question""",esteng
6,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21687,129,Wed Feb 09 20:28:33 UTC 2022,Wed Feb 09 20:29:10 UTC 2022,37,"[[{""id"": ""g0.0"", ""content"": ""lak 3090""}, {""id"": ""g0.1"", ""content"": ""lak""}, {""id"": ""g0.2"", ""content"": ""lak309g""}, {""id"": ""g0.3"", ""content"": ""3096""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"":""g1.0"",""content"":""lak""},{""id"":""g0.1"",""content"":""lak""}],[{""id"":""g0.0"",""content"":""lak 3090""},{""id"":""g0.2"",""content"":""lak309g""},{""id"":""g0.3"",""content"":""3096""}]]","""What is the writing on the bus?""",false,,"""All answer the same question""",jgualla1
7,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21522,52,Mon Feb 07 18:50:56 UTC 2022,Mon Feb 07 18:51:31 UTC 2022,35,"[[{""id"": ""g0.0"", ""content"": ""no""}, {""id"": ""g0.1"", ""content"": ""not on table""}, {""id"": ""g0.2"", ""content"": ""there is none shown""}, {""id"": ""g0.3"", ""content"": ""there isn't any""}], [{""id"": ""g1.0"", ""content"": ""don't know!""}], [{""id"": ""g2.0"", ""content"": ""in drawer""}, {""id"": ""g2.1"", ""content"": ""in someone's hand""}], [{""id"": ""g3.0"", ""content"": ""gone""}], [{""id"": ""g4.0"", ""content"": ""absent""}]]","[""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441678.jpg""","""Where is the silverware?""","[[{""id"":""g0.0"",""content"":""no""},{""id"":""g0.1"",""content"":""not on table""},{""id"":""g0.2"",""content"":""there is none shown""},{""id"":""g0.3"",""content"":""there isn't any""}],[{""id"":""g1.0"",""content"":""don't know!""}],[{""id"":""g2.0"",""content"":""in drawer""},{""id"":""g2.1"",""content"":""in someone's hand""}],[{""id"":""g3.0"",""content"":""gone""}],[{""id"":""g4.0"",""content"":""absent""}]]","[""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?""]",true,value,"""All answer the same question""",esteng
7,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21688,129,Wed Feb 09 20:29:10 UTC 2022,Wed Feb 09 20:29:19 UTC 2022,9,"[[{""id"": ""g0.0"", ""content"": ""no""}, {""id"": ""g0.1"", ""content"": ""not on table""}, {""id"": ""g0.2"", ""content"": ""there is none shown""}, {""id"": ""g0.3"", ""content"": ""there isn't any""}], [{""id"": ""g1.0"", ""content"": ""don't know!""}], [{""id"": ""g2.0"", ""content"": ""in drawer""}, {""id"": ""g2.1"", ""content"": ""in someone's hand""}], [{""id"": ""g3.0"", ""content"": ""gone""}], [{""id"": ""g4.0"", ""content"": ""absent""}]]","[""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441678.jpg""","""Where is the silverware?""","[[{""id"":""g0.0"",""content"":""no""},{""id"":""g0.1"",""content"":""not on table""},{""id"":""g0.2"",""content"":""there is none shown""},{""id"":""g0.3"",""content"":""there isn't any""}],[{""id"":""g1.0"",""content"":""don't know!""}],[{""id"":""g2.0"",""content"":""in drawer""},{""id"":""g2.1"",""content"":""in someone's hand""}],[{""id"":""g3.0"",""content"":""gone""}],[{""id"":""g4.0"",""content"":""absent""}]]","[""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?""]",true,value,"""All answer the same question""",jgualla1
8,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21523,52,Mon Feb 07 18:51:31 UTC 2022,Mon Feb 07 18:53:45 UTC 2022,134,"[[{""id"": ""g0.0"", ""content"": ""carriage""}, {""id"": ""g0.1"", ""content"": ""horse carriage""}], [{""id"": ""g1.0"", ""content"": ""wagon""}], [{""id"": ""g2.0"", ""content"": ""buggy""}], [{""id"": ""g3.0"", ""content"": ""glasses""}], [{""id"": ""g4.0"", ""content"": ""he's looking out his eyes""}, {""id"": ""g4.1"", ""content"": ""eyes""}], [{""id"": ""g5.0"", ""content"": ""tree""}]]","[""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443607.jpg""","""What is the man looking out of?""","[[{""id"":""g2.0"",""content"":""buggy""},{""id"":""g1.0"",""content"":""wagon""},{""id"":""g0.0"",""content"":""carriage""},{""id"":""g0.1"",""content"":""horse carriage""}],[{""id"":""g3.0"",""content"":""glasses""}],[{""id"":""g4.0"",""content"":""he's looking out his eyes""},{""id"":""g4.1"",""content"":""eyes""}]]","""What body part is the man looking out of?""",false,,"""All answer the same question""",esteng
8,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21689,129,Wed Feb 09 20:29:20 UTC 2022,Wed Feb 09 20:30:00 UTC 2022,40,"[[{""id"": ""g0.0"", ""content"": ""carriage""}, {""id"": ""g0.1"", ""content"": ""horse carriage""}], [{""id"": ""g1.0"", ""content"": ""wagon""}], [{""id"": ""g2.0"", ""content"": ""buggy""}], [{""id"": ""g3.0"", ""content"": ""glasses""}], [{""id"": ""g4.0"", ""content"": ""he's looking out his eyes""}, {""id"": ""g4.1"", ""content"": ""eyes""}], [{""id"": ""g5.0"", ""content"": ""tree""}]]","[""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443607.jpg""","""What is the man looking out of?""","[[{""id"":""g0.0"",""content"":""carriage""},{""id"":""g2.0"",""content"":""buggy""},{""id"":""g1.0"",""content"":""wagon""},{""id"":""g0.1"",""content"":""horse carriage""}]]","[""What is the man looking out of?"",""What is the man looking out of?"",""What is the man looking out of?"",""What is the man looking out of?"",""What is the man looking out of?"",""What is the man looking out of?""]",false,,"""All answer the same question""",jgualla1
9,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21524,52,Mon Feb 07 18:53:45 UTC 2022,Mon Feb 07 18:54:23 UTC 2022,38,"[[{""id"": ""g0.0"", ""content"": ""bucket hat""}, {""id"": ""g0.1"", ""content"": ""hat with hole""}], [{""id"": ""g1.0"", ""content"": ""fedora""}], [{""id"": ""g2.0"", ""content"": ""rasta hat""}], [{""id"": ""g3.0"", ""content"": ""ponytail""}], [{""id"": ""g4.0"", ""content"": ""fedora with dreads""}], [{""id"": ""g5.0"", ""content"": ""visor""}], [{""id"": ""g6.0"", ""content"": ""top""}]]","[""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441633.jpg""","""What type of hat is this man wearing?""","[[{""id"":""g0.0"",""content"":""bucket hat""},{""id"":""g0.1"",""content"":""hat with hole""}],[{""id"":""g1.0"",""content"":""fedora""}],[{""id"":""g2.0"",""content"":""rasta hat""}],[{""id"":""g3.0"",""content"":""ponytail""}],[{""id"":""g4.0"",""content"":""fedora with dreads""}],[{""id"":""g5.0"",""content"":""visor""}],[{""id"":""g6.0"",""content"":""top""}]]","[""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?""]",true,value,"""All answer the same question""",esteng
9,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21690,129,Wed Feb 09 20:30:00 UTC 2022,Wed Feb 09 20:30:37 UTC 2022,37,"[[{""id"": ""g0.0"", ""content"": ""bucket hat""}, {""id"": ""g0.1"", ""content"": ""hat with hole""}], [{""id"": ""g1.0"", ""content"": ""fedora""}], [{""id"": ""g2.0"", ""content"": ""rasta hat""}], [{""id"": ""g3.0"", ""content"": ""ponytail""}], [{""id"": ""g4.0"", ""content"": ""fedora with dreads""}], [{""id"": ""g5.0"", ""content"": ""visor""}], [{""id"": ""g6.0"", ""content"": ""top""}]]","[""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441633.jpg""","""What type of hat is this man wearing?""","[[{""id"":""g2.0"",""content"":""rasta hat""},{""id"":""g5.0"",""content"":""visor""},{""id"":""g6.0"",""content"":""top""},{""id"":""g4.0"",""content"":""fedora with dreads""},{""id"":""g0.0"",""content"":""bucket hat""},{""id"":""g1.0"",""content"":""fedora""},{""id"":""g0.1"",""content"":""hat with hole""}]]","[""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?""]",false,,"""All answer the same question""",jgualla1
10,85,Uncertainty QUD,Mon Feb 07 18:34:33 UTC 2022,1,86400,21525,52,Mon Feb 07 18:54:23 UTC 2022,Mon Feb 07 18:56:04 UTC 2022,101,"[[{""id"": ""g0.0"", ""content"": ""mirrors""}], [{""id"": ""g1.0"", ""content"": ""motorcycle""}], [{""id"": ""g2.0"", ""content"": ""another bike""}], [{""id"": ""g3.0"", ""content"": ""mirror""}], [{""id"": ""g4.0"", ""content"": ""tire""}]]","[""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440689.jpg""","""What is on the front of the bike?""","[[{""id"":""g3.0"",""content"":""mirror""},{""id"":""g0.0"",""content"":""mirrors""},{""id"":""g4.0"",""content"":""tire""}],[{""id"":""g2.0"",""content"":""another bike""},{""id"":""g1.0"",""content"":""motorcycle""}]]","""What vehicle is in front of the bike?""",false,,"""All answer the same question""",esteng
10,85,Uncertainty QUD,Tue Feb 08 18:14:26 UTC 2022,1,86400,21691,129,Wed Feb 09 20:30:37 UTC 2022,Wed Feb 09 20:31:03 UTC 2022,26,"[[{""id"": ""g0.0"", ""content"": ""mirrors""}], [{""id"": ""g1.0"", ""content"": ""motorcycle""}], [{""id"": ""g2.0"", ""content"": ""another bike""}], [{""id"": ""g3.0"", ""content"": ""mirror""}], [{""id"": ""g4.0"", ""content"": ""tire""}]]","[""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440689.jpg""","""What is on the front of the bike?""","[[{""id"":""g4.0"",""content"":""tire""},{""id"":""g0.0"",""content"":""mirrors""},{""id"":""g3.0"",""content"":""mirror""}],[{""id"":""g2.0"",""content"":""another bike""},{""id"":""g1.0"",""content"":""motorcycle""}]]","""What is in front of the bike?""",false,,"""All answer the same question""",jgualla1
